# Time-averaged data for fix aveP
# TimeStep c_pressure
783000 22.4331
783900 15.1398
784800 27.6076
785700 19.0708
786600 28.3627
787500 7.84705
788400 14.8348
789300 22.6699
790200 12.7989
791100 14.8337
792000 4.2507
792900 17.2159
793800 31.5694
794700 25.9491
795600 24.6407
796500 24.3591
797400 11.6595
798300 34.4921
799200 25.6029
800100 17.0682
801000 23.2434
801900 17.8803
802800 36.5356
803700 6.25534
804600 1.12238
805500 16.479
806400 25.3643
807300 15.3238
808200 19.0605
809100 3.93965
810000 -2.15959
810900 22.6787
811800 6.67781
812700 24.5652
813600 15.0927
814500 6.66509
815400 8.89541
816300 11.1145
817200 23.2015
818100 33.8022
819000 15.1352
819900 6.12918
820800 19.4321
821700 33.424
822600 15.2094
823500 33.7215
824400 7.04325
825300 18.6851
826200 19.9331
827100 26.4489
828000 51.0312
828900 -1.1912
829800 11.6842
830700 7.38483
831600 19.4898
832500 36.3057
833400 0.692436
834300 42.8075
835200 29.9111
836100 20.8596
837000 12.4388
837900 5.38047
838800 2.84815
839700 36.0304
840600 1.26977
841500 43.5844
842400 28.2899
843300 8.17144
844200 29.6209
845100 2.21792
846000 29.9746
846900 -7.63094
847800 -2.61897
848700 1.34697
849600 42.9197
850500 36.7587
851400 12.8726
852300 8.52703
853200 7.39125
854100 17.9452
855000 29.4485
855900 1.12634
856800 24.098
857700 19.2925
858600 7.06977
859500 22.6017
860400 14.4396
861300 12.5771
862200 23.0261
863100 31.3466
864000 15.3967
864900 8.46048
865800 -4.37273
866700 42.9918
867600 54.2328
868500 20.0571
869400 31.7234
870300 33.5029
871200 55.6382
872100 19.1307
873000 43.608
873900 55.7356
874800 27.3517
875700 21.8017
876600 20.6123
877500 24.6617
878400 26.0849
879300 7.93351
880200 27.1674
881100 28.186
882000 37.9737
882900 44.4346
883800 34.9027
884700 15.053
885600 11.7917
886500 62.9866
887400 30.2019
888300 56.2784
889200 59.0898
890100 25.7086
891000 50.7121
891900 47.0081
892800 28.1251
893700 32.1208
894600 64.4431
895500 29.5263
896400 38.513
897300 68.1231
898200 58.7829
899100 83.1925
900000 43.0282
900900 41.1921
901800 77.5638
902700 62.0465
903600 36.3609
904500 72.3066
905400 43.3855
906300 84.8782
907200 88.0512
908100 60.6313
909000 55.4968
909900 65.0066
910800 94.886
911700 69.5749
912600 89.9684
913500 90.7053
914400 54.7687
915300 88.788
916200 92.8345
917100 98.8712
918000 97.2963
918900 88.5476
919800 101.11
920700 83.8249
921600 94.8755
922500 100.524
923400 126.217
924300 142.141
925200 139.57
926100 119.787
927000 123.344
927900 105.504
928800 172.945
929700 135.05
930600 131.346
931500 174.729
932400 169.307
933300 175.202
934200 169.988
935100 125.714
936000 169.436
936900 167.863
937800 187.613
938700 184.08
939600 184.451
940500 196.789
941400 223.218
942300 211.503
943200 237.742
944100 256.473
945000 221.854
945900 247.261
946800 290.224
947700 226.397
948600 298.329
949500 258.389
950400 271.349
951300 307.745
952200 290.19
953100 340.801
954000 334.219
954900 279.035
955800 338.347
956700 370.735
957600 363.474
958500 427.354
959400 391.525
960300 385.576
961200 405.12
962100 422.725
963000 498.05
963900 448.986
964800 426.559
965700 549.256
966600 471.989
967500 516.124
968400 589.714
969300 543.931
970200 526.858
971100 607.618
972000 602.175
972900 600.159
973800 676.65
974700 671.124
975600 699.802
976500 753.539
977400 701.571
978300 774.027
979200 863.924
980100 779.892
981000 795.517
981900 829.744
982800 834.56
983700 862.781
984600 875.289
985500 854.556
986400 984.49
987300 1032.8
988200 1015.32
989100 1112.01
990000 1091.39
990900 1117.94
991800 1219.62
992700 1209.88
993600 1261.03
994500 1287.21
995400 1232.77
996300 1272.25
997200 1460.98
998100 1392.66
999000 1513.16
999900 1555.31
1000800 1540.96
1001700 1642.44
1002600 1600.22
1003500 1688.45
1004400 1753.85
1005300 1751.76
1006200 1817.65
1007100 1892.93
1008000 1838.85
1008900 1988
1009800 2035.97
